              yp,          delta_y,             gr_y,            AR_xy
        6.215631,         0.036808,         1.008340,        56.288593
        6.252748,         0.037117,         1.008388,        55.820355
        6.290178,         0.037430,         1.008437,        55.353331
        6.327926,         0.037748,         1.008486,        54.887537
        6.365996,         0.038070,         1.008536,        54.422985
        6.404392,         0.038397,         1.008586,        53.959689
        6.443121,         0.038728,         1.008636,        53.497664
        6.482186,         0.039065,         1.008687,        53.036923
        6.521592,         0.039406,         1.008738,        52.577479
        6.561344,         0.039753,         1.008790,        52.119346
        6.601448,         0.040104,         1.008842,        51.662539
        6.641909,         0.040461,         1.008895,        51.207070
        6.682732,         0.040823,         1.008948,        50.752953
        6.723922,         0.041190,         1.009001,        50.300202
        6.765485,         0.041563,         1.009055,        49.848829
        6.807427,         0.041942,         1.009109,        49.398850
        6.849753,         0.042326,         1.009164,        48.950276
        6.892469,         0.042716,         1.009219,        48.503121
        6.935582,         0.043113,         1.009275,        48.057399
        6.979097,         0.043515,         1.009331,        47.613122
        7.023020,         0.043923,         1.009388,        47.170305
        7.067358,         0.044338,         1.009445,        46.728959
        7.112117,         0.044759,         1.009502,        46.289099
        7.157305,         0.045187,         1.009561,        45.850738
        7.202927,         0.045622,         1.009619,        45.413887
        7.248990,         0.046064,         1.009679,        44.978562
        7.295503,         0.046512,         1.009738,        44.544773
        7.342471,         0.046968,         1.009799,        44.112535
        7.389902,         0.047431,         1.009859,        43.681860
        7.437803,         0.047902,         1.009921,        43.252761
        7.486183,         0.048380,         1.009983,        42.825250
        7.535049,         0.048866,         1.010045,        42.399341
        7.584408,         0.049360,         1.010108,        41.975046
        7.634270,         0.049862,         1.010172,        41.552378
        7.684642,         0.050372,         1.010236,        41.131349
        7.735533,         0.050891,         1.010301,        40.711972
        7.786952,         0.051419,         1.010367,        40.294259
        7.838907,         0.051955,         1.010433,        39.878223
        7.891408,         0.052501,         1.010499,        39.463876
        7.944463,         0.053055,         1.010567,        39.051230
        7.998082,         0.053620,         1.010635,        38.640298
        8.052276,         0.054193,         1.010703,        38.231092
        8.107053,         0.054777,         1.010773,        37.823624
        8.162424,         0.055371,         1.010843,        37.417906
        8.218400,         0.055976,         1.010914,        37.013950
        8.274990,         0.056590,         1.010985,        36.611769
        8.332206,         0.057216,         1.011057,        36.211374
        8.390059,         0.057853,         1.011130,        35.812777
        8.448560,         0.058501,         1.011204,        35.415990
        8.507721,         0.059161,         1.011278,        35.021025
        8.567554,         0.059833,         1.011353,        34.627894
        8.628070,         0.060516,         1.011429,        34.236608
        8.689283,         0.061213,         1.011506,        33.847178
        8.751205,         0.061922,         1.011583,        33.459618
        8.813848,         0.062644,         1.011661,        33.073937
        8.877228,         0.063379,         1.011740,        32.690148
        8.941356,         0.064128,         1.011820,        32.308261
        9.006247,         0.064892,         1.011901,        31.928289
        9.071916,         0.065669,         1.011982,        31.550243
        9.138378,         0.066461,         1.012065,        31.174133
        9.205647,         0.067269,         1.012148,        30.799972
        9.273738,         0.068092,         1.012232,        30.427769
        9.342668,         0.068930,         1.012317,        30.057537
        9.412454,         0.069785,         1.012404,        29.689286
        9.483111,         0.070657,         1.012490,        29.323027
        9.554656,         0.071546,         1.012578,        28.958771
        9.627108,         0.072452,         1.012667,        28.596529
        9.700485,         0.073376,         1.012757,        28.236312
        9.774804,         0.074319,         1.012848,        27.878130
        9.850084,         0.075281,         1.012940,        27.521994
        9.926346,         0.076262,         1.013033,        27.167915
       10.003609,         0.077263,         1.013127,        26.815903
       10.081893,         0.078284,         1.013222,        26.465969
       10.161221,         0.079327,         1.013318,        26.118123
       10.241612,         0.080391,         1.013415,        25.772375
       10.323090,         0.081478,         1.013514,        25.428736
       10.405676,         0.082587,         1.013613,        25.087216
       10.489396,         0.083719,         1.013714,        24.747825
       10.574272,         0.084876,         1.013816,        24.410573
       10.660330,         0.086058,         1.013919,        24.075471
       10.747594,         0.087264,         1.014023,        23.742527
       10.836091,         0.088497,         1.014129,        23.411753
       10.925848,         0.089757,         1.014235,        23.083158
       11.016892,         0.091044,         1.014343,        22.756751
       11.109253,         0.092360,         1.014453,        22.432543
       11.202958,         0.093705,         1.014563,        22.110542
       11.298038,         0.095080,         1.014675,        21.790760
       11.394525,         0.096487,         1.014788,        21.473204
       11.492449,         0.097924,         1.014903,        21.157886
       11.591845,         0.099395,         1.015019,        20.844813
       11.692744,         0.100900,         1.015137,        20.533995
       11.795184,         0.102439,         1.015256,        20.225442
       11.899198,         0.104014,         1.015376,        19.919163
       12.004824,         0.105626,         1.015498,        19.615166
       12.112100,         0.107276,         1.015621,        19.313462
       12.221065,         0.108965,         1.015746,        19.014058
       12.331761,         0.110695,         1.015873,        18.716964
       12.444227,         0.112466,         1.016001,        18.422189
       12.558507,         0.114280,         1.016131,        18.129741
       12.674646,         0.116139,         1.016262,        17.839629
       12.792689,         0.118043,         1.016395,        17.551861
       12.912683,         0.119994,         1.016530,        17.266447
       13.034678,         0.121994,         1.016666,        16.983395
       13.158722,         0.124044,         1.016805,        16.702713
       13.284868,         0.126146,         1.016945,        16.424409
       13.413169,         0.128301,         1.017086,        16.148492
       13.543681,         0.130512,         1.017230,        15.874971
       13.676461,         0.132780,         1.017375,        15.603852
       13.811568,         0.135106,         1.017522,        15.335145
       13.949061,         0.137494,         1.017671,        15.068856
       14.089006,         0.139944,         1.017822,        14.804995
       14.231466,         0.142460,         1.017975,        14.543569
       14.376508,         0.145043,         1.018130,        14.284586
       14.524203,         0.147695,         1.018287,        14.028053
       14.674623,         0.150420,         1.018446,        13.773978
       14.827841,         0.153218,         1.018607,        13.522369
       14.983935,         0.156094,         1.018770,        13.273233
       15.142985,         0.159050,         1.018935,        13.026577
       15.305073,         0.162088,         1.019102,        12.782410
       15.470285,         0.165212,         1.019271,        12.540737
       15.638709,         0.168424,         1.019442,        12.301567
       15.810436,         0.171727,         1.019616,        12.064907
       15.985562,         0.175126,         1.019791,        11.830762
       16.164185,         0.178623,         1.019969,        11.599142
       16.346407,         0.182222,         1.020149,        11.370051
       16.532334,         0.185927,         1.020331,        11.143498
       16.722075,         0.189741,         1.020515,        10.919489
       16.915744,         0.193669,         1.020701,        10.698030
       17.113458,         0.197714,         1.020889,        10.479129
       17.315341,         0.201882,         1.021080,        10.262791
       17.521517,         0.206177,         1.021272,        10.049023
       17.732120,         0.210603,         1.021467,         9.837832
       17.947285,         0.215165,         1.021664,         9.629224
       18.167155,         0.219869,         1.021863,         9.423204
       18.391876,         0.224721,         1.022064,         9.219780
       18.621600,         0.229724,         1.022267,         9.018957
       18.856487,         0.234887,         1.022472,         8.820741
       19.096700,         0.240214,         1.022678,         8.625138
       19.342412,         0.245711,         1.022887,         8.432153
       19.593798,         0.251386,         1.023097,         8.241794
       19.851044,         0.257246,         1.023309,         8.054065
       20.114341,         0.263297,         1.023522,         7.868971
       20.383887,         0.269547,         1.023737,         7.686519
       20.659890,         0.276003,         1.023953,         7.506714
       20.942564,         0.282674,         1.024170,         7.329561
       21.232132,         0.289568,         1.024388,         7.155065
       21.528825,         0.296693,         1.024607,         6.983232
       21.832883,         0.304059,         1.024826,         6.814066
       22.144557,         0.311674,         1.025046,         6.647574
       22.464105,         0.319548,         1.025265,         6.483759
       22.791798,         0.327692,         1.025485,         6.322626
       23.127913,         0.336115,         1.025704,         6.164181
       23.472741,         0.344828,         1.025922,         6.008429
       23.826582,         0.353842,         1.026139,         5.855373
       24.189750,         0.363167,         1.026355,         5.705018
       24.562565,         0.372816,         1.026568,         5.557369
       24.945365,         0.382799,         1.026779,         5.412430
       25.338495,         0.393130,         1.026986,         5.270206
       25.742314,         0.403819,         1.027190,         5.130700
       26.157194,         0.414880,         1.027390,         4.993917
       26.583517,         0.426324,         1.027584,         4.859862
       27.021682,         0.438164,         1.027773,         4.728537
       27.472094,         0.450413,         1.027955,         4.599947
       27.935177,         0.463082,         1.028129,         4.474096
       28.411362,         0.476185,         1.028294,         4.350987
       28.901094,         0.489733,         1.028450,         4.230624
       29.404831,         0.503737,         1.028595,         4.113011
       29.923039,         0.518208,         1.028728,         3.998151
       30.456197,         0.533157,         1.028848,         3.886048
       31.004790,         0.548593,         1.028952,         3.776705
       31.569314,         0.564524,         1.029040,         3.670125
       32.150272,         0.580957,         1.029110,         3.566312
       32.748169,         0.597898,         1.029159,         3.465267
       33.363518,         0.615348,         1.029187,         3.366996
       33.996828,         0.633311,         1.029190,         3.271500
       34.648611,         0.651783,         1.029168,         3.178782
       35.319371,         0.670761,         1.029117,         3.088845
       36.009607,         0.690236,         1.029035,         3.001691
       36.719804,         0.710197,         1.028919,         2.917324
       37.450432,         0.730628,         1.028768,         2.835746
       38.201940,         0.751507,         1.028578,         2.756959
       38.974749,         0.772809,         1.028346,         2.680965
       39.769250,         0.794501,         1.028069,         2.607768
       40.585795,         0.816545,         1.027745,         2.537368
       41.424690,         0.838895,         1.027371,         2.469768
       42.286187,         0.861497,         1.026943,         2.404970
       43.170479,         0.884292,         1.026459,         2.342976
       44.077689,         0.907210,         1.025917,         2.283788
       45.007862,         0.930173,         1.025312,         2.227407
       45.960959,         0.953096,         1.024644,         2.173836
       46.936843,         0.975884,         1.023909,         2.123075
       47.935276,         0.998433,         1.023106,         2.075126
       48.955909,         1.020633,         1.022234,         2.029990
       49.998273,         1.042364,         1.021292,         1.987670
       51.061773,         1.063501,         1.020278,         1.948165
       52.145686,         1.083913,         1.019193,         1.911478
       53.249151,         1.103465,         1.018038,         1.877609
       54.371170,         1.122020,         1.016815,         1.846559
       55.510609,         1.139439,         1.015525,         1.818329
       56.666197,         1.155587,         1.014172,         1.792919
       57.836528,         1.170332,         1.012759,         1.770332
       59.020074,         1.183546,         1.011291,         1.750566
       60.215187,         1.195113,         1.009773,         1.733623
       61.420113,         1.204926,         1.008212,         1.719503
       62.633008,         1.212895,         1.006613,         1.708207
       63.851948,         1.218940,         1.004985,         1.699734
       65.074953,         1.223005,         1.003334,         1.694086
       66.300000,         1.225047,         1.001670,         1.691262
