              yp,          delta_y,             gr_y,            AR_xy
        1.751132,         0.005625,         0.978609,        11.111671
        1.756638,         0.005506,         0.978975,        11.350306
        1.762031,         0.005393,         0.979341,        11.589738
        1.767314,         0.005283,         0.979705,        11.829823
        1.772492,         0.005178,         0.980068,        12.070416
        1.777569,         0.005077,         0.980428,        12.311372
        1.782548,         0.004979,         0.980787,        12.552546
        1.787433,         0.004885,         0.981143,        12.793793
        1.792228,         0.004795,         0.981498,        13.034968
        1.796936,         0.004708,         0.981850,        13.275925
        1.801560,         0.004624,         0.982200,        13.516519
        1.806103,         0.004543,         0.982548,        13.756605
        1.810569,         0.004466,         0.982893,        13.996039
        1.814959,         0.004391,         0.983236,        14.234676
        1.819278,         0.004319,         0.983576,        14.472373
        1.823527,         0.004249,         0.983914,        14.708986
        1.827709,         0.004182,         0.984249,        14.944372
        1.831827,         0.004118,         0.984582,        15.178391
        1.835882,         0.004056,         0.984913,        15.410901
        1.839878,         0.003996,         0.985241,        15.641762
        1.843816,         0.003938,         0.985566,        15.870834
        1.847699,         0.003882,         0.985890,        16.097981
        1.851528,         0.003829,         0.986211,        16.323064
        1.855305,         0.003777,         0.986529,        16.545950
        1.859033,         0.003728,         0.986846,        16.766502
        1.862712,         0.003680,         0.987160,        16.984589
        1.866346,         0.003634,         0.987472,        17.200079
        1.869935,         0.003589,         0.987781,        17.412842
        1.873482,         0.003547,         0.988089,        17.622750
        1.876987,         0.003505,         0.988394,        17.829677
        1.880453,         0.003466,         0.988698,        18.033497
        1.883881,         0.003428,         0.988999,        18.234089
        1.887272,         0.003391,         0.989299,        18.431331
        1.890627,         0.003356,         0.989596,        18.625105
        1.893949,         0.003322,         0.989892,        18.815293
        1.897238,         0.003289,         0.990186,        19.001782
        1.900496,         0.003258,         0.990478,        19.184458
        1.903724,         0.003228,         0.990768,        19.363213
        1.906923,         0.003199,         0.991057,        19.537937
        1.910094,         0.003171,         0.991344,        19.708527
        1.913239,         0.003145,         0.991630,        19.874879
        1.916358,         0.003119,         0.991914,        20.036892
        1.919453,         0.003095,         0.992197,        20.194470
        1.922525,         0.003072,         0.992478,        20.347518
        1.925574,         0.003049,         0.992758,        20.495943
        1.928602,         0.003028,         0.993037,        20.639655
        1.931610,         0.003008,         0.993315,        20.778569
        1.934599,         0.002989,         0.993591,        20.912601
        1.937569,         0.002970,         0.993866,        21.041669
        1.940522,         0.002953,         0.994140,        21.165696
        1.943458,         0.002936,         0.994413,        21.284608
        1.946379,         0.002921,         0.994685,        21.398333
        1.949285,         0.002906,         0.994957,        21.506802
        1.952177,         0.002892,         0.995227,        21.609950
        1.955056,         0.002879,         0.995496,        21.707714
        1.957923,         0.002867,         0.995765,        21.800037
        1.960779,         0.002856,         0.996033,        21.886862
        1.963624,         0.002845,         0.996300,        21.968136
        1.966459,         0.002835,         0.996567,        22.043812
        1.969285,         0.002826,         0.996833,        22.113844
        1.972104,         0.002818,         0.997099,        22.178188
        1.974914,         0.002811,         0.997364,        22.236807
        1.977718,         0.002804,         0.997629,        22.289666
        1.980516,         0.002798,         0.997893,        22.336731
        1.983309,         0.002793,         0.998157,        22.377976
        1.986098,         0.002789,         0.998421,        22.413375
        1.988883,         0.002785,         0.998684,        22.442906
        1.991665,         0.002782,         0.998947,        22.466553
        1.994444,         0.002780,         0.999211,        22.484300
        1.997222,         0.002778,         0.999474,        22.496138
        2.000000,         0.002778,         0.999737,        22.502059
