 mean[omega_x],mean[omega_y],mean[omega_z],dU/dy
  -3.6142758058702096E-002 ,   2.0816681711721685E-017 ,  0.34646647647127166      ,  0.43040989582461259     
  -3.7787699889119661E-002 ,   6.2450045135165055E-017 ,  0.33540640070043343      ,  0.42385271060996943     
  -3.9374695706442600E-002 ,  -3.4694469519536142E-018 ,  0.32472992814190871      ,  0.41767592630058492     
  -4.0896174423893594E-002 ,   4.1633363423443370E-017 ,  0.31443539843161117      ,  0.41188432496271615     
  -4.2344062518426054E-002 ,   3.4694469519536142E-018 ,  0.30452444008986473      ,  0.40645222558109934     
  -4.3709635249581491E-002 ,  -1.7347234759768071E-017 ,  0.29500094214756301      ,  0.40134891051113786     
  -4.4983438107195101E-002 ,  -1.3877787807814457E-017 ,  0.28587011970415122      ,  0.39656577775648333     
  -4.6155287310043203E-002 ,   1.7347234759768071E-017 ,  0.27713769855308440      ,  0.39202476168919087     
  -4.7214352763787520E-002 ,  -5.8980598183211441E-017 ,  0.26880923399283274      ,  0.38772686100863218     
  -4.8149321208173265E-002 ,  -2.4286128663675299E-017 ,  0.26088956878191999      ,  0.38361128514854437     
  -4.8948631811252120E-002 ,  -9.7144514654701197E-017 ,  0.25338242583060933      ,  0.37963087404116125     
  -4.9600771655596593E-002 ,   1.7347234759768071E-017 ,  0.24629012346737164      ,  0.37577141853079693     
  -5.0094614791397818E-002 ,  -2.4286128663675299E-017 ,  0.23961339554865330      ,  0.37197637781434217     
  -5.0419786073294365E-002 ,  -4.1633363423443370E-017 ,  0.23335129556009868      ,  0.36821281225611330     
  -5.0567029978238830E-002 ,  -3.4694469519536142E-017 ,  0.22750116312722365      ,  0.36447214327217337     
  -5.0528564996024761E-002 ,   1.7347234759768071E-017 ,  0.22205863267411982      ,  0.36072029235873643     
  -5.0298405829561438E-002 ,   3.4694469519536142E-018 ,  0.21701766680258944      ,  0.35693804906875981     
  -4.9872638269783179E-002 ,   4.1633363423443370E-017 ,  0.21237060068598093      ,  0.35312014647295825     
  -4.9249634890834046E-002 ,  -2.7755575615628914E-017 ,  0.20810818777477430      ,  0.34924761624842571     
  -4.8430203305908269E-002 ,   4.8572257327350599E-017 ,  0.20421964090073527      ,  0.34532548402645968     
  -4.7417662331912629E-002 ,  -2.7755575615628914E-017 ,  0.20069266611144934      ,  0.34134845917818968     
  -4.6217844803747528E-002 ,  -3.4694469519536142E-017 ,  0.19751348910889480      ,  0.33729539339504799     
  -4.4839028816487693E-002 ,   5.2041704279304213E-018 ,  0.19466687599024912      ,  0.33315358175077703     
  -4.3291801799117013E-002 ,  -3.4694469519536142E-018 ,  0.19213615117103428      ,  0.32891692228159253     
  -4.1588864040911805E-002 ,   1.7347234759768071E-017 ,  0.18990321602426388      ,  0.32457815024848058     
  -3.9744780135722073E-002 ,   1.7347234759768071E-018 ,  0.18794857201170906      ,  0.32014647380146910     
  -3.7775688314175153E-002 ,  -3.9898639947466563E-017 ,  0.18625135202172979      ,  0.31563970271112041     
  -3.5698978807207959E-002 ,   3.4694469519536142E-018 ,  0.18478936335659790      ,  0.31109082819032241     
  -3.3532953193974022E-002 ,   3.1225022567582528E-017 ,  0.18353914541884908      ,  0.30651680393438058     
  -3.1296477061842645E-002 ,   3.9898639947466563E-017 ,  0.18247604471214737      ,  0.30191748043643740     
  -2.9008638153943372E-002 ,   1.7347234759768071E-018 ,  0.18157430937989782      ,  0.29731220660499919     
  -2.6688421420126812E-002 ,   8.6736173798840355E-018 ,  0.18080720524216559      ,  0.29273367958321289     
  -2.4354410987205692E-002 ,   3.1225022567582528E-017 ,  0.18014715524529437      ,  0.28822861311761494     
  -2.2024527064518632E-002 ,  -2.6020852139652106E-017 ,  0.17956590447024051      ,  0.28385547397168637     
  -1.9715803323600019E-002 ,   1.0408340855860843E-017 ,  0.17903471334569476      ,  0.27968631325978721     
  -1.7444207529089914E-002 ,  -2.0816681711721685E-017 ,  0.17852458236305288      ,  0.27578000006802877     
  -1.5224505391115525E-002 ,  -1.2143064331837650E-017 ,  0.17800651215053831      ,  0.27222711796187848     
  -1.3070165011031020E-002 ,   5.8980598183211441E-017 ,  0.17745180289355303      ,  0.26906228611281158     
  -1.0993297137296840E-002 ,   1.2143064331837650E-017 ,  0.17683239641077167      ,  0.26625082463195682     
  -9.0046249204134444E-003 ,  -2.6020852139652106E-017 ,  0.17612126238273346      ,  0.26370833500539559     
  -7.1134760651190964E-003 ,  -1.0408340855860843E-017 ,  0.17529282709137170      ,  0.26132809413409042     
  -5.3277902500817199E-003 ,   1.7347234759768071E-018 ,  0.17432343859393709      ,  0.25905876474270750     
  -3.6541353659360321E-003 ,  -3.4694469519536142E-018 ,  0.17319185681455559      ,  0.25680197843931851     
  -2.0977273917449886E-003 ,   2.7755575615628914E-017 ,  0.17187975114757631      ,  0.25452324031080653     
  -6.6245041825299103E-004 ,   1.9081958235744878E-017 ,  0.17037218259885312      ,  0.25221312782280020     
   6.4912477043361540E-004 ,  -6.9388939039072284E-018 ,  0.16865804312386246      ,  0.24981426216417396     
   1.8357232519630956E-003 ,   3.2959746043559335E-017 ,  0.16673042251611886      ,  0.24734397032708952     
   2.8973476977544486E-003 ,   2.4286128663675299E-017 ,  0.16458687364273203      ,  0.24478583275337801     
   3.8352561101658443E-003 ,  -2.6020852139652106E-017 ,  0.16222955038523537      ,  0.24210373977742067     
   4.6519317758756283E-003 ,  -3.6429192995512949E-017 ,  0.15966519926798400      ,  0.23929405612177623     
   5.3510416916994399E-003 ,   1.5612511283791264E-017 ,  0.15690499492548357      ,  0.23638117258646155     
   5.9373803937169513E-003 ,   1.0408340855860843E-017 ,  0.15396422034478230      ,  0.23338014982745331     
   6.4167972950505778E-003 ,   5.2041704279304213E-018 ,  0.15086180401339733      ,  0.23032842976628862     
   6.7961071112303080E-003 ,  -1.5612511283791264E-017 ,  0.14761973641774115      ,  0.22722480250160482     
   7.0829844930628775E-003 ,   2.9490299091605721E-017 ,  0.14426239660444548      ,  0.22406327909202534     
   7.2858453750884022E-003 ,  -2.6020852139652106E-017 ,  0.14081582487147234      ,  0.22085613291698153     
   7.4137186083437535E-003 ,   3.4694469519536142E-017 ,  0.13730697964424901      ,  0.21762862710884290     
   7.4761120698394979E-003 ,  -1.3877787807814457E-017 ,  0.13376301520866934      ,  0.21441797498224224     
   7.4828775893361170E-003 ,  -2.4286128663675299E-017 ,  0.13021061261799505      ,  0.21122730812144133     
   7.4440787335262673E-003 ,   5.2041704279304213E-018 ,  0.12667538947139961      ,  0.20806636761737959     
   7.3698648196559987E-003 ,   0.0000000000000000      ,  0.12318140627066351      ,  0.20493454665047883     
   7.2703536142287115E-003 ,   2.9490299091605721E-017 ,  0.11975077863763511      ,  0.20184753779998449     
   7.1555241478237783E-003 ,  -1.0408340855860843E-017 ,  0.11640339668940175      ,  0.19882566606239171     
   7.0351200859570719E-003 ,  -1.9081958235744878E-017 ,  0.11315674603076745      ,  0.19587973139538509     
   6.9185632621496865E-003 ,   5.5511151231257827E-017 ,  0.11002581962076211      ,  0.19302754185958965     
   6.8148763922384198E-003 ,  -3.1225022567582528E-017 ,  0.10702310644040934      ,  0.19027295478983208     
   6.7326136916269260E-003 ,  -1.3877787807814457E-017 ,  0.10415864143135338      ,  0.18761159960936952     
   6.6797981028002568E-003 ,   2.0816681711721685E-017 ,  0.10144010138210749      ,  0.18504786485214350     
   6.6638640568510710E-003 ,   1.7347234759768071E-017 ,   9.8872932953866025E-002 ,  0.18259122019180418     
   6.6916050548292555E-003 ,  -1.7347234759768071E-018 ,   9.6460501420043671E-002 ,  0.18024988068093853     
   6.7691257618838529E-003 ,   1.5612511283791264E-017 ,   9.4204251483156975E-002 ,  0.17801796127760561     
   6.9017986640493249E-003 ,  -1.7347234759768071E-017 ,   9.2103874311633693E-002 ,  0.17588780287516903     
