              yp,          delta_y,             gr_y,            AR_xy
        3.282885,         0.022844,         1.004207,        15.115951
        3.305826,         0.022941,         1.004236,        15.052188
        3.328864,         0.023039,         1.004266,        14.988255
        3.352002,         0.023138,         1.004295,        14.924155
        3.375240,         0.023238,         1.004325,        14.859890
        3.398579,         0.023339,         1.004355,        14.795463
        3.422021,         0.023441,         1.004384,        14.730876
        3.445566,         0.023545,         1.004414,        14.666133
        3.469215,         0.023650,         1.004445,        14.601235
        3.492970,         0.023755,         1.004475,        14.536186
        3.516833,         0.023862,         1.004505,        14.470989
        3.540803,         0.023971,         1.004536,        14.405645
        3.564884,         0.024080,         1.004567,        14.340159
        3.589074,         0.024191,         1.004597,        14.274532
        3.613377,         0.024303,         1.004628,        14.208767
        3.637793,         0.024416,         1.004660,        14.142868
        3.662324,         0.024531,         1.004691,        14.076836
        3.686970,         0.024646,         1.004722,        14.010675
        3.711734,         0.024764,         1.004754,        13.944387
        3.736616,         0.024882,         1.004785,        13.877975
        3.761618,         0.025002,         1.004817,        13.811443
        3.786741,         0.025123,         1.004849,        13.744792
        3.811987,         0.025246,         1.004881,        13.678025
        3.837356,         0.025370,         1.004914,        13.611145
        3.862852,         0.025495,         1.004946,        13.544156
        3.888474,         0.025622,         1.004979,        13.477060
        3.914225,         0.025751,         1.005011,        13.409859
        3.940105,         0.025881,         1.005044,        13.342556
        3.966117,         0.026012,         1.005077,        13.275155
        3.992262,         0.026145,         1.005110,        13.207658
        4.018541,         0.026279,         1.005144,        13.140068
        4.044957,         0.026415,         1.005177,        13.072387
        4.071510,         0.026553,         1.005211,        13.004619
        4.098202,         0.026692,         1.005245,        12.936767
        4.125035,         0.026833,         1.005279,        12.868832
        4.152011,         0.026976,         1.005313,        12.800819
        4.179131,         0.027120,         1.005348,        12.732730
        4.206397,         0.027266,         1.005382,        12.664567
        4.233811,         0.027414,         1.005417,        12.596334
        4.261374,         0.027563,         1.005452,        12.528033
        4.289089,         0.027714,         1.005487,        12.459668
        4.316956,         0.027867,         1.005522,        12.391241
        4.344978,         0.028022,         1.005558,        12.322755
        4.373158,         0.028179,         1.005593,        12.254213
        4.401495,         0.028338,         1.005629,        12.185617
        4.429993,         0.028498,         1.005665,        12.116971
        4.458654,         0.028661,         1.005702,        12.048278
        4.487479,         0.028825,         1.005738,        11.979540
        4.516471,         0.028992,         1.005775,        11.910760
        4.545631,         0.029160,         1.005811,        11.841941
        4.574962,         0.029331,         1.005848,        11.773086
        4.604465,         0.029503,         1.005886,        11.704198
        4.634143,         0.029678,         1.005923,        11.635280
        4.663998,         0.029855,         1.005961,        11.566334
        4.694032,         0.030034,         1.005999,        11.497364
        4.724248,         0.030215,         1.006037,        11.428372
        4.754647,         0.030399,         1.006075,        11.359362
        4.785231,         0.030585,         1.006114,        11.290335
        4.816004,         0.030773,         1.006153,        11.221296
        4.846968,         0.030963,         1.006192,        11.152246
        4.878124,         0.031156,         1.006231,        11.083190
        4.909476,         0.031352,         1.006270,        11.014129
        4.941026,         0.031550,         1.006310,        10.945066
        4.972776,         0.031750,         1.006350,        10.876005
        5.004728,         0.031953,         1.006390,        10.806948
        5.036887,         0.032158,         1.006430,        10.737899
        5.069253,         0.032366,         1.006471,        10.668860
        5.101830,         0.032577,         1.006512,        10.599833
        5.134621,         0.032791,         1.006553,        10.530823
        5.167628,         0.033007,         1.006595,        10.461831
        5.200854,         0.033226,         1.006636,        10.392861
        5.234301,         0.033448,         1.006678,        10.323915
        5.267974,         0.033673,         1.006720,        10.254997
        5.301874,         0.033900,         1.006763,        10.186109
        5.336005,         0.034131,         1.006806,        10.117254
        5.370370,         0.034365,         1.006849,        10.048435
        5.404972,         0.034602,         1.006892,         9.979655
        5.439814,         0.034842,         1.006936,         9.910917
